Probando para N = 2^10
create time SS = 78063 ms

create time CP = 1 ms

Results
query = (0.109112,0.79436), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 14	|	cp_search: 5 ss_search: 5
query = (0.877891,0.43023), 0.02			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 18	|	cp_search: 1 ss_search: 1
query = (0.526012,0.060231), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 14	|	cp_search: 3 ss_search: 3
query = (0.189334,0.735556), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 17	|	cp_search: 0 ss_search: 0
query = (0.210064,0.669095), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 19	|	cp_search: 0 ss_search: 0
query = (0.733978,0.976801), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 1 ss_search: 1
query = (0.764198,0.108651), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 16	|	cp_search: 1 ss_search: 1
query = (0.229261,0.573431), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 21	|	cp_search: 1 ss_search: 1
query = (0.637813,0.33653), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 19	|	cp_search: 5 ss_search: 5
query = (0.597667,0.381736), 0.02			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 20	|	cp_search: 5 ss_search: 5
query = (0.837387,0.261725), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 18	|	cp_search: 1 ss_search: 1
query = (0.318816,0.898176), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 17	|	cp_search: 0 ss_search: 0
query = (0.215937,0.857862), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 16	|	cp_search: 4 ss_search: 4
query = (0.627305,0.745027), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 21	|	cp_search: 8 ss_search: 8
query = (0.0899015,0.143246), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 0 ss_search: 0
query = (0.47692,0.952618), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 16	|	cp_search: 2 ss_search: 2
query = (0.901908,0.889948), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 4 ss_search: 4
query = (0.339054,0.812426), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 19	|	cp_search: 4 ss_search: 4
query = (0.213161,0.402141), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 20	|	cp_search: 3 ss_search: 3
query = (0.153039,0.870744), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 14	|	cp_search: 1 ss_search: 1
query = (0.562356,0.160701), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 18	|	cp_search: 4 ss_search: 4
