Probando para N = 2^10
create time CP = 4 ms

create time SS = 46383 ms

Results
query = (0.0127481,0.694687), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.496377,0.8593), 0.2				|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 9
query = (0.907871,0.962196), 0.2			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 8
query = (0.443774,0.755304), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.540032,0.696853), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.757137,0.520357), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.508586,0.882024), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 9
query = (0.336013,0.334202), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.114382,0.902943), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.49867,0.768227), 0.2				|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.612573,0.56141), 0.2				|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 10
query = (0.267605,0.78481), 0.2				|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.300154,0.0830926), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.679374,0.00589262), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9

Probando para N = 2^11
create time CP = 5 ms

create time SS = 130846 ms

Results
query = (0.362052,0.60718), 0.2				|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 20
query = (0.720927,0.254602), 0.2			|	time ss = 0 ms	|	counter ss = 11	|	time cp = 0 ms		|	counter cp = 17
query = (0.380005,0.358655), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 19
query = (0.137311,0.277599), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 18
query = (0.30731,0.897399), 0.2				|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 19
query = (0.246608,0.175201), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 18
query = (0.698316,0.873378), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 16
query = (0.975723,0.15981), 0.2				|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 16
query = (0.886385,0.77451), 0.2				|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 16
query = (0.0724126,0.717574), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 18
query = (0.44023,0.332472), 0.2				|	time ss = 0 ms	|	counter ss = 12	|	time cp = 0 ms		|	counter cp = 20
query = (0.676865,0.315498), 0.2			|	time ss = 0 ms	|	counter ss = 12	|	time cp = 0 ms		|	counter cp = 19
query = (0.305821,0.343693), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 18
query = (0.426069,0.924281), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 18
query = (0.693704,0.17514), 0.2				|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 18
query = (0.519344,0.0788216), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 16
query = (0.849233,0.306981), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 17
query = (0.372009,0.753599), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 21
query = (0.803721,0.772058), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 16
query = (0.0728161,0.282718), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 18
query = (0.431591,0.741607), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 21
query = (0.626042,0.566892), 0.2			|	time ss = 0 ms	|	counter ss = 12	|	time cp = 0 ms		|	counter cp = 20
query = (0.297687,0.997968), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 16
query = (0.373771,0.275222), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 18
query = (0.984264,0.92754), 0.2				|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 16
query = (0.377174,0.894907), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 19
query = (0.646036,0.236988), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 19
query = (0.289144,0.512614), 0.2			|	time ss = 0 ms	|	counter ss = 11	|	time cp = 0 ms		|	counter cp = 20
query = (0.671626,0.517964), 0.2			|	time ss = 0 ms	|	counter ss = 12	|	time cp = 0 ms		|	counter cp = 19
query = (0.0183248,0.69932), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 18
query = (0.041523,0.780225), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 17
query = (0.14678,0.38367), 0.2				|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 18
query = (0.326936,0.15399), 0.2				|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 18
query = (0.277429,0.505309), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 20
query = (0.806721,0.405085), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 17
query = (0.0379847,0.799286), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 17
query = (0.64411,0.354219), 0.2				|	time ss = 0 ms	|	counter ss = 12	|	time cp = 0 ms		|	counter cp = 20
query = (0.410003,0.921999), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 18
query = (0.531812,0.783832), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 18
query = (0.0182796,0.255729), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 18
query = (0.206623,0.707549), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 21
query = (0.0919991,0.407785), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 18
query = (0.792776,0.433701), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 17
query = (0.314459,0.0580754), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 17
query = (0.727627,0.437587), 0.2			|	time ss = 0 ms	|	counter ss = 11	|	time cp = 0 ms		|	counter cp = 18
query = (0.0693125,0.677159), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 19
query = (0.759115,0.19787), 0.2				|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 17
query = (0.838737,0.977905), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 16
query = (0.477123,0.347628), 0.2			|	time ss = 0 ms	|	counter ss = 13	|	time cp = 0 ms		|	counter cp = 20
query = (0.472337,0.816092), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 19
query = (0.643575,0.0218421), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 15
query = (0.506101,0.0173362), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 16
query = (0.445317,0.445674), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 20
query = (0.857055,0.167389), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 16
query = (0.46943,0.474112), 0.2				|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 21
query = (0.766938,0.544608), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 17
query = (0.711152,0.47108), 0.2				|	time ss = 0 ms	|	counter ss = 11	|	time cp = 0 ms		|	counter cp = 18
query = (0.952207,0.721097), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 16
query = (0.36818,0.654506), 0.2				|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 21
query = (0.381256,0.222461), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 18
